Image Filename,Coefficients
94.png,[-0.04760133 -0.15220164  0.07380057 -0.08007505]
95.png,[ 0.06456522 -0.35390206  0.16310887 -0.08377486]
96.png,[ 0.0464564  -0.32972816  0.15312187 -0.08255518]
97.png,[-0.05568801 -0.16076309  0.08322745 -0.08184167]
98.png,[ 0.05021775 -0.33816472  0.15845928 -0.08325963]
99.png,[ 0.0453992  -0.34058784  0.16147814 -0.08390295]
100.png,[ 0.0453992  -0.34058784  0.16147814 -0.08390295]
101.png,[ 0.025424   -0.30498783  0.14541744 -0.08183778]
102.png,[ 0.02969015 -0.31861954  0.15206616 -0.08272197]
103.png,[ 0.05834542 -0.37493571  0.1826245  -0.08724468]
104.png,[ 0.08709834 -0.42850958  0.21127366 -0.0907594 ]
105.png,[ 0.07456312 -0.41194005  0.20458385 -0.08996668]
106.png,[ 0.03650131 -0.34424587  0.17173127 -0.08616385]
107.png,[ 0.04596286 -0.36423021  0.18326345 -0.08796687]
108.png,[ 0.06197429 -0.39227236  0.18730749 -0.08692107]
109.png,[-0.06411798 -0.13912737  0.04025614 -0.06539563]
110.png,[-0.07656468 -0.12325519  0.0329431  -0.06437931]
111.png,[-0.05039676 -0.16931103  0.05403112 -0.06692796]
112.png,[-0.02137747 -0.23386215  0.0914106  -0.0726926 ]
113.png,[-0.02116026 -0.23631536  0.09070854 -0.07218823]
114.png,[-0.02300825 -0.23743681  0.09056887 -0.07191941]
115.png,[-0.13379682 -0.05274225  0.00982861 -0.06923968]
116.png,[ 0.03817852 -0.33916929  0.13223572 -0.07609321]
117.png,[-0.04936189 -0.20015947  0.07473223 -0.07678583]
118.png,[ 0.02042884 -0.31664043  0.11839209 -0.07339386]
119.png,[ 0.03481981 -0.357435    0.14091386 -0.0771162 ]
120.png,[-0.05138557 -0.21961208  0.08904525 -0.07873394]
121.png,[-0.09211734 -0.14336295  0.04836305 -0.07247677]
122.png,[-0.07506436 -0.19260583  0.07686798 -0.07686402]
123.png,[-0.17616853  0.01435866 -0.04901364 -0.05732032]
124.png,[-0.20180904  0.05211447 -0.06599752 -0.05532851]
125.png,[-0.18987386  0.03571579 -0.06064326 -0.0553201 ]
126.png,[-0.20354291  0.05145083 -0.07056233 -0.05373456]
127.png,[-0.26488881  0.13917425 -0.10725562 -0.05102902]
128.png,[-0.29236433  0.19312933 -0.14337771 -0.04331131]
129.png,[-0.16818902 -0.03419649 -0.02131779 -0.06299113]
130.png,[-0.18363377 -0.00823257 -0.04037717 -0.05957406]
131.png,[-0.14678204 -0.07057983 -0.0129204  -0.06296088]
132.png,[-0.15473236 -0.07340995 -0.008529   -0.0638871 ]
133.png,[-0.05222253 -0.30915064  0.16776775 -0.10662061]
134.png,[-0.07760136 -0.27345099  0.14613589 -0.10348144]
135.png,[-0.04138529 -0.33947766  0.17727836 -0.10712835]
136.png,[-0.09761557 -0.21856709  0.09740352 -0.09427523]
137.png,[-0.20931461 -0.04280302  0.02596704 -0.09330331]
138.png,[-0.21631446 -0.03910651  0.022393   -0.09248724]
139.png,[-0.17286249 -0.09269451  0.03582779 -0.09302868]
140.png,[-0.19647596 -0.05275419  0.00981967 -0.08860087]
141.png,[-0.20511835 -0.0547444   0.0143521  -0.0896758 ]
142.png,[-0.1306661  -0.19390674  0.08301926 -0.09876855]
143.png,[-0.23825434  0.00889175 -0.03353689 -0.08214202]
144.png,[-0.21835617 -0.0229899  -0.02014209 -0.08387663]
145.png,[-0.21574115 -0.02286276 -0.03146563 -0.08064112]
146.png,[-0.39287268  0.26669935 -0.16463583 -0.06921574]
147.png,[-0.31573931  0.13126665 -0.0990748  -0.07915568]
148.png,[ 0.34995689 -1.04318611  0.45237631 -0.15375282]
149.png,[-0.36653271  0.24120626 -0.18062859 -0.06461548]
150.png,[-0.4160165   0.32091535 -0.22478186 -0.05768561]
151.png,[ 0.23892668 -0.86109403  0.34728995 -0.13852108]
152.png,[-0.44217372  0.37029431 -0.2607433  -0.05110274]
153.png,[ 0.20740477 -0.81223476  0.31438748 -0.13259284]
154.png,[-0.39277169  0.26536949 -0.20755805 -0.05961544]
155.png,[ 0.19487477 -0.82116383  0.3343434  -0.14264129]
156.png,[-0.48281893  0.42795517 -0.29741467 -0.05185709]
157.png,[ 0.2436309  -0.89588423  0.35729591 -0.14746535]
158.png,[ 0.06793682 -0.60130486  0.20506958 -0.12557222]
159.png,[-0.52749329  0.51453729 -0.35064369 -0.04616503]
160.png,[ 0.04997812 -0.59293131  0.20533408 -0.1277198 ]
161.png,[ 0.22434699 -0.89581049  0.3498438  -0.14725993]
162.png,[-0.56402737  0.56102388 -0.39544089 -0.03724464]
163.png,[-0.553377    0.58437846 -0.42552927 -0.03095572]
164.png,[-0.04477204 -0.41457825  0.08161774 -0.10751536]
165.png,[ 0.09525761 -0.7075684   0.27087571 -0.14945432]
166.png,[-0.44095849  0.29852343 -0.22436125 -0.07839102]
167.png,[-0.50504333  0.40450169 -0.27368439 -0.07710211]
168.png,[ 0.04681374 -0.62341316  0.22353918 -0.14994502]
169.png,[-0.59965072  0.60353274 -0.40007447 -0.05847872]
170.png,[-0.6147114   0.63038462 -0.417107   -0.05479853]
171.png,[-0.62868865  0.64740587 -0.42039191 -0.05574477]
172.png,[-0.62868865  0.64740587 -0.42039191 -0.05574477]
173.png,[-0.62984033  0.6520099  -0.42425416 -0.05526166]
174.png,[-0.55424196  0.51847748 -0.35627731 -0.06458921]
175.png,[-0.57828716  0.56226751 -0.37927677 -0.06152315]
176.png,[-0.57865882  0.56340191 -0.38028447 -0.06126737]
177.png,[-0.60007194  0.5994311  -0.39774589 -0.05921832]
178.png,[-0.56700941  0.540098   -0.36694661 -0.06341444]
179.png,[-0.5572585   0.51368943 -0.34915211 -0.06655268]
180.png,[-0.56700941  0.540098   -0.36694661 -0.06341444]
181.png,[-0.56389233  0.52938254 -0.35909405 -0.06486032]
