Image Filename,Coefficients
94.png,[ 0.0934672  -0.33381181  0.02302907 -0.09833138]
95.png,[ 0.08238913 -0.29665244 -0.01549782 -0.09042266]
96.png,[ 0.24603253 -0.6532614   0.21889988 -0.1402633 ]
97.png,[ 0.24424964 -0.64988145  0.21368567 -0.14028596]
98.png,[ 0.30110125 -0.75754269  0.26406704 -0.14719266]
99.png,[ 0.21883908 -0.60362287  0.170492   -0.13351928]
100.png,[ 0.19636106 -0.56415621  0.14364532 -0.13334704]
101.png,[ 0.21781084 -0.61180399  0.16683773 -0.1366714 ]
102.png,[ 0.24730305 -0.66349757  0.18368053 -0.1388757 ]
103.png,[ 0.23663439 -0.63637902  0.15139676 -0.13354741]
104.png,[ 0.12095757 -0.42423478  0.0322039  -0.11537003]
105.png,[ 0.33323098 -0.87500197  0.32371288 -0.17471112]
106.png,[ 0.2800044  -0.75839333  0.24011718 -0.16377883]
107.png,[ 0.27706639 -0.75973642  0.23984288 -0.16524198]
108.png,[ 0.37818448 -0.99244431  0.40351421 -0.20592144]
109.png,[ 0.35919253 -0.9516295   0.365035   -0.19988132]
110.png,[ 0.25757015 -0.77365942  0.26583714 -0.18764676]
111.png,[ 0.14895826 -0.59432055  0.17487438 -0.17824352]
112.png,[ 0.20053433 -0.69251231  0.22489545 -0.18541928]
113.png,[ 0.25960797 -0.77249452  0.23771292 -0.18424399]
114.png,[ 0.22054892 -0.72422048  0.21899479 -0.1831967 ]
115.png,[ 0.07931083 -0.39682173 -0.06208399 -0.09485562]
116.png,[ 0.04933566 -0.329957   -0.11515278 -0.08466214]
117.png,[-0.05465135 -0.16489868 -0.19227359 -0.08101009]
118.png,[-0.05739903 -0.18156348 -0.17667295 -0.0838886 ]
119.png,[-0.07975338 -0.11995158 -0.2290989  -0.07422153]
120.png,[-0.03993529 -0.25390801 -0.11730531 -0.10538981]
121.png,[ 0.01389557 -0.36051748 -0.06865335 -0.11179623]
122.png,[ 0.12777984 -0.62740015  0.12718075 -0.16113192]
123.png,[-0.12223266 -0.13123825 -0.1927109  -0.09780595]
124.png,[ 0.9658578  -2.05970547  0.7702411  -0.2491015 ]
125.png,[ 0.20248311 -0.79155595  0.19810494 -0.17008766]
126.png,[ 0.09038088 -0.58824173  0.08177237 -0.15359893]
127.png,[ 0.17033611 -0.75645146  0.16710675 -0.16489311]
128.png,[ 0.06183879 -0.55857561  0.05900545 -0.152443  ]
129.png,[ 0.08232502 -0.62024823  0.08474472 -0.15523122]
130.png,[-0.01847672 -0.45329026  0.00102633 -0.14464668]
131.png,[-0.00851876 -0.47208893  0.00878913 -0.14388591]
132.png,[-0.02726663 -0.44080448 -0.02542831 -0.1364842 ]
133.png,[ 0.01596477 -0.55466009  0.03379363 -0.14460976]
134.png,[-0.13037333 -0.27725856 -0.12712817 -0.12242823]
135.png,[-0.09828942 -0.35858258 -0.08079342 -0.12839596]
136.png,[-0.04283621 -0.47180886 -0.02042945 -0.13624568]
137.png,[-0.01794511 -0.5424814   0.01082793 -0.14129853]
138.png,[-0.17558778 -0.28174811 -0.10542072 -0.13305325]
139.png,[-0.06669386 -0.50539408  0.02164647 -0.15312787]
140.png,[-0.16676947 -0.33765948 -0.0794755  -0.13774945]
141.png,[-0.22616058 -0.27215689 -0.08685666 -0.14303501]
142.png,[-0.15204041 -0.40812887 -0.02004818 -0.15234202]
143.png,[-0.24851774 -0.25047926 -0.11719113 -0.13688437]
144.png,[-0.30268725 -0.21601567 -0.11271894 -0.14090834]
145.png,[-0.28468869 -0.26246876 -0.08730285 -0.14494071]
146.png,[-0.29209193 -0.27753065 -0.06219985 -0.15100475]
147.png,[-0.4923722   0.07218819 -0.24567031 -0.12517372]
148.png,[-0.42639416 -0.09393309 -0.14852974 -0.14278804]
149.png,[-0.50627691  0.03306403 -0.20990755 -0.13345614]
150.png,[-0.62240588  0.20978412 -0.29083405 -0.12277196]
151.png,[-0.57170374  0.04441214 -0.15928853 -0.1611002 ]
152.png,[-0.60687039  0.07628373 -0.1560031  -0.16634161]
153.png,[-0.76210507  0.36469389 -0.32119376 -0.14381741]
154.png,[-0.66993157  0.15302166 -0.20128805 -0.1637761 ]
155.png,[-0.82616953  0.43162581 -0.35743399 -0.14097402]
156.png,[-0.54317744 -0.11686029 -0.01206351 -0.2076182 ]
157.png,[-0.8876976   0.54915521 -0.42802256 -0.12935258]
158.png,[-1.05511638  0.84818981 -0.5984291  -0.10599501]
159.png,[-0.98929037  0.710012   -0.52375516 -0.11767877]
160.png,[-1.06392365  0.86140045 -0.60175245 -0.10635136]
161.png,[-0.91706789  0.55318378 -0.40681589 -0.14921372]
162.png,[-0.85864811  0.3465473  -0.22936776 -0.19445731]
163.png,[-0.93960584  0.54085562 -0.35463952 -0.17271565]
164.png,[-0.96970618  0.55873434 -0.35009863 -0.1784179 ]
165.png,[-1.31976753  1.25731513 -0.7939744  -0.09599004]
166.png,[-1.08374105  0.77419646 -0.47134936 -0.16171024]
167.png,[-1.39900967  1.40105868 -0.87724316 -0.08099927]
168.png,[-1.25387605  1.05030204 -0.6211417  -0.14278037]
169.png,[-1.29665418  1.17539603 -0.70169108 -0.13088985]
170.png,[-1.28411121  1.11573454 -0.65815409 -0.13716904]
171.png,[-1.35118374  1.25516498 -0.74506944 -0.12393929]
172.png,[-1.33001029  1.21683116 -0.72548127 -0.12671869]
173.png,[-1.4429745   1.40569164 -0.81729125 -0.11466252]
174.png,[-1.35238635  1.24990079 -0.74032502 -0.12478798]
175.png,[-1.29521945  1.13667037 -0.67393427 -0.13606994]
176.png,[-1.36971148  1.27259523 -0.7463865  -0.1254312 ]
177.png,[-1.33135988  1.20194271 -0.70997776 -0.13057108]
178.png,[-1.28345721  1.10984763 -0.65806638 -0.13877421]
179.png,[-1.34221334  1.25439845 -0.73722097 -0.1261472 ]
180.png,[-1.34221334  1.25439845 -0.73722097 -0.1261472 ]
181.png,[-1.34221334  1.25439845 -0.73722097 -0.1261472 ]
182.png,[-1.39759475  1.31808847 -0.7769927  -0.11891054]
183.png,[-1.28628836  1.15037775 -0.68110285 -0.13460892]
184.png,[-1.31325163  1.15339391 -0.68393238 -0.13137362]
185.png,[-1.1997836   0.99306315 -0.59910878 -0.1443557 ]
186.png,[-1.35836638  1.23837543 -0.73017298 -0.12691462]
187.png,[-1.24757476  1.03442632 -0.61989927 -0.14154527]
188.png,[-1.27436339  1.08685404 -0.64635056 -0.14014985]
189.png,[-1.26789006  1.07518939 -0.64266574 -0.14020475]
190.png,[-1.31996217  1.16923452 -0.69199542 -0.13297684]
191.png,[-1.29951982  1.12970595 -0.67197856 -0.13562881]
192.png,[-1.2583209   1.06823713 -0.64508589 -0.138537  ]
193.png,[-1.34039549  1.20278641 -0.70969086 -0.13020171]
194.png,[-1.31739311  1.16840154 -0.69615519 -0.13109238]
195.png,[-1.34275571  1.20246958 -0.70740564 -0.13083033]
196.png,[-1.3187209   1.15670145 -0.68191052 -0.13480794]
197.png,[-1.33165191  1.18896988 -0.70522243 -0.12992142]
198.png,[-1.3187209   1.15670145 -0.68191052 -0.13480794]
199.png,[-1.3187209   1.15670145 -0.68191052 -0.13480794]
200.png,[-1.33091611  1.18254207 -0.69824608 -0.1321265 ]
201.png,[-1.28654806  1.10879912 -0.66382976 -0.13647711]
202.png,[-1.29859047  1.12656746 -0.66909647 -0.1364665 ]
203.png,[-1.29457099  1.11818027 -0.6664981  -0.13638744]
204.png,[-1.3142497   1.15553455 -0.6861861  -0.13355308]
205.png,[-1.28566597  1.11453165 -0.67314532 -0.13360474]
206.png,[-1.33771666  1.1971215  -0.71001185 -0.12918606]
207.png,[-1.2936274   1.12381129 -0.67576444 -0.13352177]
208.png,[-1.28050859  1.10336841 -0.66729196 -0.13440223]
209.png,[-1.27817216  1.09157873 -0.65459345 -0.13780073]
210.png,[-1.28133146  1.09780943 -0.65935837 -0.13621127]
211.png,[-1.29382793  1.12308236 -0.67335955 -0.13495596]
212.png,[-1.33564648  1.19948936 -0.71436839 -0.12894582]
213.png,[-1.27817216  1.09157873 -0.65459345 -0.13780073]
214.png,[-1.3051759   1.14742395 -0.68894502 -0.13236063]
215.png,[-1.29844524  1.17679109 -0.70688338 -0.12871128]
216.png,[-1.31420918  1.20973585 -0.72856205 -0.12432261]
217.png,[-1.32446557  1.22734077 -0.73619664 -0.12415354]
218.png,[-1.27638679  1.09544721 -0.66168752 -0.1360891 ]
219.png,[-1.28393192  1.15361738 -0.69683588 -0.1298427 ]
220.png,[-1.28393192  1.15361738 -0.69683588 -0.1298427 ]
221.png,[-1.29633012  1.17584685 -0.70759012 -0.12904353]
222.png,[-1.29844524  1.17679109 -0.70688338 -0.12871128]
223.png,[-1.28256973  1.15753974 -0.70331318 -0.12843809]
224.png,[-1.29204702  1.12695424 -0.68045205 -0.13324508]
225.png,[-1.16807299  0.96590579 -0.59976173 -0.14225552]
226.png,[-1.3111949   1.22305454 -0.73945271 -0.12480715]
227.png,[-1.27244303  1.12235392 -0.67424584 -0.13449594]
228.png,[-1.18197281  0.98691824 -0.59763438 -0.1463504 ]
229.png,[-1.19171027  1.02523525 -0.63145117 -0.1358515 ]
230.png,[-0.82404804  0.35776803 -0.26274428 -0.18938464]
231.png,[-0.93287104  0.56332454 -0.37154108 -0.17190346]
232.png,[-1.00215575  0.81442011 -0.60233161 -0.10620609]
233.png,[-0.91851522  0.67197697 -0.51449484 -0.11832901]
234.png,[-0.75896685  0.42317    -0.36941478 -0.13977885]
235.png,[-0.87675115  0.68092517 -0.52349932 -0.11248311]
236.png,[-0.84358397  0.63516155 -0.50025085 -0.11442436]
237.png,[-0.72107303  0.4438186  -0.40318946 -0.12747375]
238.png,[-0.66159609  0.30795143 -0.29944425 -0.14655648]
239.png,[-0.65549549  0.39139753 -0.41562097 -0.10739124]
240.png,[-0.58990062  0.29909059 -0.36974733 -0.11293544]
241.png,[-0.54199509  0.23614927 -0.32263038 -0.12056994]
242.png,[-0.63339465  0.4425153  -0.44680956 -0.0994715 ]
243.png,[-0.45400241  0.10206622 -0.24691718 -0.12749424]
244.png,[-0.55224613  0.30545621 -0.35624806 -0.11181473]
245.png,[-0.31043937 -0.22588229  0.05785806 -0.22738913]
246.png,[-0.47014374  0.20955815 -0.30973144 -0.1140738 ]
247.png,[-0.2606147  -0.2444811   0.03654163 -0.21511028]
248.png,[-0.1639924  -0.3939792   0.11851731 -0.22417243]
249.png,[-0.0775174  -0.53923957  0.19826436 -0.23466104]
250.png,[-0.39779689  0.15630899 -0.26573065 -0.13692036]
251.png,[-0.41914908  0.19527312 -0.27836956 -0.13474335]
252.png,[-0.28765012 -0.0389273  -0.13744066 -0.15280562]
253.png,[-0.26048001 -0.06469591 -0.11971702 -0.15534166]
254.png,[-0.25935648 -0.06677535 -0.11643035 -0.1558018 ]
255.png,[-0.18791058 -0.16309094 -0.06784609 -0.16021205]
256.png,[-0.12660635 -0.2592067  -0.01749171 -0.16503541]
257.png,[-0.0729022  -0.36289713  0.05400521 -0.17744485]
258.png,[-0.09024205 -0.32492252  0.0337067  -0.17268496]
259.png,[-0.1354733  -0.19867858 -0.06070611 -0.1483955 ]
260.png,[-0.04997145 -0.33378135  0.01147919 -0.15531163]
261.png,[-0.02032544 -0.38206317  0.04302445 -0.15788321]
262.png,[ 0.03634328 -0.50134406  0.13377711 -0.17356261]
263.png,[-0.25162875  0.07450488 -0.21550851 -0.10337662]
264.png,[-0.15758762 -0.08540441 -0.12097442 -0.11739398]
265.png,[-0.0840445  -0.20448634 -0.06295012 -0.12240103]
266.png,[-0.07292884 -0.19630545 -0.07118705 -0.1210118 ]
267.png,[-0.1277337  -0.09104179 -0.11994235 -0.11453748]
268.png,[-0.08943415 -0.15837299 -0.07238361 -0.12148257]
269.png,[-4.15492398e-02 -2.59645919e-01  9.19914320e-05 -1.34196286e-01]
270.png,[ 0.04103187 -0.39365539  0.07337584 -0.14388255]
271.png,[-0.06218874 -0.2219743   0.00548152 -0.136653  ]
272.png,[ 0.01971039 -0.35017837  0.07054185 -0.14078442]
273.png,[-0.08618663 -0.11921975 -0.08686844 -0.10390154]
274.png,[-0.02119009 -0.21888983 -0.03446185 -0.11008411]
275.png,[-0.07697947 -0.1428761  -0.04462294 -0.11193243]
276.png,[-0.05322585 -0.18130617 -0.01847703 -0.11551865]
277.png,[-0.0153352  -0.24068762  0.0153943  -0.11671023]
278.png,[ 0.03836113 -0.35673564  0.09994712 -0.13141871]
279.png,[-0.01513174 -0.25123559  0.04899597 -0.12222714]
280.png,[-0.05829075 -0.18055652  0.03149972 -0.122504  ]
281.png,[ 0.03194455 -0.34600769  0.12651256 -0.13170545]
282.png,[ 0.02342643 -0.33340224  0.13327872 -0.13194154]
283.png,[ 0.00858267 -0.31050664  0.13608314 -0.13516721]
284.png,[-0.02409305 -0.26710132  0.1331348  -0.13414926]
285.png,[-0.04233124 -0.15395039 -0.00147639 -0.08720461]
286.png,[-0.02213004 -0.20675581  0.04771055 -0.09431104]
287.png,[-0.03650577 -0.17821878  0.0414282  -0.09455581]
288.png,[-0.05723512 -0.14108159  0.03370187 -0.09517987]
289.png,[-0.13814966  0.01647821 -0.04714121 -0.08331077]
290.png,[-0.02908167 -0.18018219  0.06556564 -0.09952201]
291.png,[-0.02647914 -0.1853449   0.07308595 -0.10116441]
292.png,[ 0.05228323 -0.31961817  0.13581437 -0.10300745]
293.png,[-0.01942717 -0.1783686   0.06420333 -0.09311768]
294.png,[ 0.00409211 -0.21049861  0.07614623 -0.09432192]
295.png,[-0.04433059 -0.12889308  0.04689851 -0.09212329]
296.png,[ 0.08318803 -0.37318509  0.19473234 -0.11372746]
297.png,[ 0.01988144 -0.24722544  0.13074407 -0.10510952]
298.png,[-0.02698343 -0.16550702  0.09957261 -0.10234668]
299.png,[ 0.0005128  -0.18532481  0.07562514 -0.08085767]
300.png,[-0.00697908 -0.19015531  0.1104432  -0.10314233]
301.png,[ 0.07339564 -0.31602324  0.16754557 -0.1104983 ]
302.png,[ 0.15871628 -0.50077798  0.29189576 -0.13051224]
303.png,[ 0.0270138  -0.19012264  0.06512406 -0.0783781 ]
304.png,[ 0.03405409 -0.19524718  0.06596767 -0.07840991]
305.png,[ 0.02946938 -0.18528482  0.06539316 -0.07910312]
306.png,[ 0.04814571 -0.22478279  0.09858006 -0.0858327 ]
307.png,[ 0.03192855 -0.18168571  0.0755267  -0.08259554]
308.png,[ 0.01197086 -0.14248097  0.05541076 -0.0794373 ]
309.png,[ 0.15887231 -0.37970658  0.15727665 -0.08445193]
310.png,[ 0.13013556 -0.31873253  0.12330181 -0.07938936]
311.png,[ 0.20532514 -0.46868819  0.21747942 -0.09280633]
312.png,[ 0.24124855 -0.52558602  0.24812233 -0.09722774]
313.png,[ 0.23131443 -0.52200999  0.25883527 -0.10065221]
