Image Filename,Coefficients
102.png,[-0.30326742 -0.08778786  0.66526926  0.17005516]
103.png,[-0.4017706   0.08655396  0.56326571  0.19146744]
104.png,[-0.3346133  -0.05032396  0.66174846  0.16672575]
105.png,[-0.51322412  0.32788669  0.40639547  0.22106143]
106.png,[-0.41580177  0.11146411  0.55522381  0.19033499]
107.png,[-0.50510449  0.2955826   0.42411807  0.22325921]
108.png,[-0.49523401  0.27610894  0.43308462  0.22378192]
109.png,[-0.51686494  0.28922292  0.44520488  0.21754954]
110.png,[-0.49053564  0.27513636  0.42869293  0.22447053]
111.png,[-0.43797918  0.16371271  0.51376343  0.19497952]
112.png,[-0.42643857  0.14272574  0.50610899  0.2123237 ]
113.png,[-0.44454842  0.16577485  0.49458687  0.21366739]
114.png,[-0.46215654  0.18381888  0.50663272  0.19628893]
115.png,[-0.29868325 -0.16153783  0.72795853  0.15380593]
116.png,[-0.490156    0.22247389  0.47415864  0.21234434]
117.png,[-0.47063206  0.19825961  0.47759     0.21402669]
118.png,[-0.42510976  0.08421082  0.57620887  0.17943055]
119.png,[-0.37551317  0.01378246  0.58625116  0.19026052]
120.png,[-0.18548038 -0.35970108  0.80829733  0.15067538]
121.png,[-0.42211983  0.08842502  0.54343454  0.19734211]
122.png,[-0.28541437 -0.21452656  0.7658686   0.136076  ]
123.png,[-0.39368614  0.01631055  0.62331631  0.15182956]
124.png,[-0.35481091 -0.02541892  0.5971142   0.18581   ]
125.png,[-0.24990558 -0.256874    0.74845094  0.15562791]
126.png,[-0.24201889 -0.28047568  0.77936583  0.13503083]
127.png,[-0.21516048 -0.3335449   0.80443048  0.13180918]
128.png,[-0.19475679 -0.3581148   0.79509947  0.14695484]
129.png,[-0.2193532  -0.30483122  0.75769375  0.1533205 ]
130.png,[-0.01014226 -0.75223297  1.06063959  0.07992708]
131.png,[-0.21153485 -0.30746392  0.74006958  0.15801101]
132.png,[-0.21797652 -0.29221475  0.72669244  0.1608969 ]
133.png,[-0.10215873 -0.52128636  0.85050524  0.14316175]
134.png,[-0.13830542 -0.44705795  0.80203243  0.15137754]
135.png,[-0.13123345 -0.44471733  0.80524129  0.13708659]
136.png,[-0.11510882 -0.46550304  0.78976341  0.15387746]
137.png,[-0.14170682 -0.41240017  0.75479271  0.15979903]
138.png,[-0.11891322 -0.45681737  0.77661837  0.15671482]
139.png,[-0.16107822 -0.39425305  0.74814939  0.15879074]
140.png,[-0.05130156 -0.59479252  0.86245623  0.1310358 ]
141.png,[ 0.08011675 -0.85667167  1.03034328  0.09142406]
142.png,[-0.1459329  -0.40267039  0.72865758  0.16130064]
143.png,[-0.02069602 -0.62383964  0.85356431  0.13166125]
144.png,[-0.0822731  -0.52074087  0.78533346  0.15127146]
145.png,[-0.12747436 -0.44253315  0.74432697  0.15671951]
146.png,[-0.11975473 -0.42792719  0.71686324  0.16282057]
147.png,[-0.04912292 -0.56396683  0.78184126  0.15442225]
148.png,[-0.07082957 -0.52919397  0.77768472  0.14164738]
149.png,[-0.12028618 -0.42954148  0.69406122  0.16846139]
150.png,[-0.02338795 -0.60164569  0.79703788  0.14008305]
151.png,[-0.04318797 -0.55834965  0.74763625  0.15999118]
152.png,[-0.09343998 -0.4580856   0.68633291  0.17007078]
153.png,[-0.02703324 -0.57370926  0.75940795  0.14455649]
154.png,[-0.04417488 -0.55080574  0.72940557  0.16085303]
155.png,[-0.04278611 -0.55219628  0.73809915  0.15432855]
156.png,[-0.08054756 -0.49349398  0.72333253  0.14411703]
157.png,[ 0.09556553 -0.85583081  0.95722889  0.09487091]
158.png,[-0.08587814 -0.46790076  0.6865854   0.16286318]
159.png,[-0.08975767 -0.45888881  0.68171392  0.16271515]
160.png,[-0.04471592 -0.54497706  0.72372419  0.15961749]
161.png,[-0.06000896 -0.51871306  0.7125252   0.1596613 ]
162.png,[-0.05069985 -0.54959763  0.75117659  0.14057513]
163.png,[-0.04391962 -0.56352647  0.76004484  0.13890382]
164.png,[-0.05925164 -0.51769629  0.71032289  0.16021679]
165.png,[-0.05925164 -0.51769629  0.71032289  0.16021679]
166.png,[-0.05168622 -0.53083677  0.71642955  0.15979871]
167.png,[-0.06369493 -0.51106784  0.70843679  0.1598222 ]
168.png,[-0.05799686 -0.53698974  0.74538843  0.14094098]
169.png,[-0.08233078 -0.46042366  0.66552382  0.1709591 ]
170.png,[-0.05612903 -0.52420925  0.71454399  0.15940403]
171.png,[-0.05168622 -0.53083677  0.71642955  0.15979871]
172.png,[-0.07992136 -0.46225756  0.6647206   0.17134557]
173.png,[ 0.1219413  -0.90276049  0.97845099  0.09230733]
174.png,[-0.04298737 -0.563097    0.75756106  0.14009031]
175.png,[-0.06681934 -0.50693414  0.70797611  0.15919682]
176.png,[-0.08633506 -0.47155316  0.69621038  0.15292008]
177.png,[-0.06572726 -0.49945359  0.69458205  0.16429254]
178.png,[-0.07110586 -0.50970433  0.727393    0.14464385]
179.png,[-0.08041383 -0.4741198   0.68299788  0.16500415]
180.png,[-0.05609633 -0.53581169  0.7395657   0.14379317]
181.png,[-0.01725167 -0.60314914  0.77475267  0.13781533]
182.png,[-0.05168622 -0.53083677  0.71642955  0.15979871]
183.png,[-0.0577632  -0.51982679  0.71141401  0.15985148]
184.png,[-0.08618825 -0.45680842  0.66701873  0.16955033]
185.png,[-0.05276609 -0.52871356  0.71599728  0.15923669]
186.png,[-0.06915453 -0.50617118  0.7185893   0.14819175]
187.png,[-0.02439395 -0.58677471  0.76322007  0.14019754]
188.png,[-0.05168622 -0.53083677  0.71642955  0.15979871]
189.png,[-0.07516787 -0.48393798  0.68811246  0.16451278]
190.png,[-0.05731615 -0.51839656  0.70828382  0.16116488]
191.png,[-0.05641713 -0.53464517  0.7400561   0.14260582]
192.png,[-0.04214651 -0.54383626  0.7213674   0.15863954]
193.png,[-0.06572726 -0.49945359  0.69458205  0.16429254]
194.png,[-0.05794878 -0.51484348  0.70472156  0.16191623]
195.png,[-0.06476537 -0.50350185  0.69830304  0.16355684]
196.png,[-0.05566088 -0.53652333  0.73986277  0.14378179]
197.png,[-0.07896251 -0.45603136  0.65377938  0.17522286]
198.png,[-0.05276609 -0.52871356  0.71599728  0.15923669]
199.png,[-0.05925164 -0.51769629  0.71032289  0.16021679]
200.png,[-0.04430486 -0.56045858  0.75676614  0.13961101]
201.png,[-0.04086863 -0.54133941  0.71466601  0.16167048]
202.png,[-0.04298737 -0.563097    0.75756106  0.14009031]
203.png,[-0.05168622 -0.53083677  0.71642955  0.15979871]
204.png,[-0.05168622 -0.53083677  0.71642955  0.15979871]
205.png,[-0.06509448 -0.50300695  0.69814446  0.16354117]
206.png,[-0.0464992  -0.52889799  0.70651958  0.16303677]
207.png,[-0.05612903 -0.52420925  0.71454399  0.15940403]
208.png,[-0.03949804 -0.56094259  0.7499608   0.14235451]
209.png,[-0.05169148 -0.52040185  0.70236836  0.16386173]
210.png,[-0.05168622 -0.53083677  0.71642955  0.15979871]
211.png,[-0.02587667 -0.57092416  0.73359491  0.15752141]
212.png,[-0.05648193 -0.53274314  0.73628661  0.14450044]
213.png,[-0.07388926 -0.48743506  0.69100518  0.16381649]
214.png,[-0.05925164 -0.51769629  0.71032289  0.16021679]
215.png,[-0.03991782 -0.53954076  0.71174729  0.16201526]
216.png,[-0.04870458 -0.54814469  0.74644065  0.14212099]
217.png,[-0.05213296 -0.53226757  0.71956007  0.15848525]
218.png,[-0.078174   -0.47567131  0.68001754  0.16729937]
219.png,[-0.08947585 -0.44858832  0.6589474   0.17258392]
220.png,[-0.05213296 -0.53226757  0.71956007  0.15848525]
221.png,[-0.047677   -0.54823309  0.73159187  0.15748023]
222.png,[-0.09173152 -0.46356998  0.68638673  0.16398746]
223.png,[-0.13032546 -0.38229848  0.63102581  0.17649572]
224.png,[-0.06229757 -0.50454943  0.69738446  0.16667252]
225.png,[-0.06618023 -0.49774718  0.69167543  0.16921884]
226.png,[ 0.06971614 -0.78256917  0.87638963  0.13030681]
227.png,[-0.06316144 -0.51097844  0.70837266  0.17007537]
228.png,[-0.01548942 -0.6216265   0.78446787  0.1574872 ]
229.png,[ 0.05890778 -0.77698597  0.879867    0.14367151]
230.png,[-0.03670383 -0.58800996  0.7775917   0.16026618]
231.png,[ 0.04707095 -0.77547477  0.89773982  0.14344126]
232.png,[ 0.05383777 -0.7578289   0.87885369  0.14453752]
233.png,[-0.10553897 -0.46230522  0.69361904  0.19338144]
234.png,[-0.09464094 -0.43854738  0.65557654  0.20828186]
235.png,[-0.05119777 -0.53649948  0.71937971  0.19912924]
236.png,[-0.03603162 -0.59096715  0.78662194  0.17634233]
237.png,[-0.01234203 -0.63166592  0.78975655  0.19339283]
238.png,[-0.04485162 -0.59761805  0.78989231  0.192162  ]
239.png,[-0.02103691 -0.64398825  0.82198072  0.18922672]
240.png,[ 0.05561849 -0.79028388  0.90494049  0.17795653]
241.png,[ 0.0026947  -0.70067096  0.87003925  0.18217497]
242.png,[-0.05793562 -0.58659609  0.80736458  0.19372224]
243.png,[ 0.03618286 -0.74753284  0.89233438  0.18506186]
244.png,[-0.01629089 -0.67893296  0.87714104  0.18457116]
245.png,[ 0.00635332 -0.70494772  0.88561954  0.18666268]
246.png,[ 0.07547341 -0.84953709  0.97632188  0.17330249]
247.png,[-0.03151047 -0.68455382  0.91470922  0.17814595]
248.png,[-0.00604731 -0.70301099  0.90977466  0.18230474]
249.png,[-0.10877537 -0.48734694  0.7695404   0.21223839]
250.png,[-0.09568362 -0.51437641  0.79171089  0.20618274]
251.png,[-0.06374229 -0.58059123  0.84926701  0.18983653]
252.png,[-0.20917998 -0.30374067  0.68313293  0.22280225]
253.png,[-0.18490323 -0.35089322  0.71489299  0.21621415]
254.png,[-0.27529124 -0.1536925   0.59810743  0.23427852]
255.png,[-0.17512838 -0.36425841  0.74343818  0.20192089]
256.png,[-0.25431749 -0.21111485  0.65204979  0.21885435]
257.png,[-0.13915247 -0.422447    0.77436201  0.19681999]
258.png,[-0.20626057 -0.30727029  0.7174573   0.20457049]
259.png,[-0.21619254 -0.26239574  0.68265434  0.21098275]
260.png,[-0.26010291 -0.18037708  0.63791876  0.21736953]
261.png,[-0.22644877 -0.23120897  0.66255022  0.21319418]
262.png,[-0.23955088 -0.20754113  0.65327439  0.21240787]
263.png,[-0.25550522 -0.18050085  0.64025172  0.21407845]
264.png,[-0.35375003  0.00280809  0.54307965  0.2265079 ]
265.png,[-0.32750634 -0.03275371  0.55657141  0.2248855 ]
266.png,[-0.27734267 -0.10738039  0.59524724  0.21705985]
267.png,[-0.27993865 -0.09863476  0.58699369  0.21914285]
268.png,[-0.33761823 -0.00257085  0.5581615   0.20593259]
269.png,[-0.32786358  0.00600867  0.52238287  0.22787965]
270.png,[-0.38072556  0.10984793  0.4669052   0.23408693]
271.png,[-0.35992181  0.05139583  0.52856711  0.20694988]
272.png,[-0.17025413 -0.31903534  0.75850758  0.16038818]
273.png,[-0.30430933 -0.00322946  0.50980967  0.22851894]
274.png,[-0.34293634  0.08029524  0.45677486  0.23655455]
275.png,[-0.31142853  0.02845866  0.48213426  0.2320176 ]
276.png,[-0.31143202  0.04496364  0.46350818  0.23481418]
277.png,[-0.32146926  0.06862038  0.44637872  0.23821229]
278.png,[-0.27938288 -0.00322632  0.48138237  0.23257332]
279.png,[-0.30103798  0.04482548  0.45125589  0.23631374]
280.png,[-0.26816915 -0.02365447  0.50768593  0.21182162]
281.png,[-0.27835131  0.01733017  0.45893118  0.23399777]
282.png,[-0.32259935  0.11155771  0.40144154  0.24147741]
283.png,[-0.36534342  0.1959323   0.35389291  0.24721084]
284.png,[-0.38252579  0.22175703  0.35993823  0.22883356]
285.png,[-0.36051805  0.19221234  0.36452765  0.23577668]
286.png,[-0.13548596 -0.27024832  0.6816402   0.15510637]
287.png,[ 0.01561258 -0.60467592  0.90797618  0.10692368]
288.png,[-0.26812498  0.00502098  0.49839237  0.1955916 ]
289.png,[-0.22256248 -0.07404157  0.53477701  0.19193972]
290.png,[-0.26563395  0.01412988  0.49677057  0.18101114]
291.png,[-0.24406622  0.02562476  0.44734003  0.19925408]
292.png,[-0.25088     0.06305258  0.4072593   0.20633617]
293.png,[-0.21972011  0.03648815  0.40666373  0.20348961]
294.png,[-0.19624886  0.00973959  0.41141376  0.2009765 ]
295.png,[-0.20137505  0.02038355  0.42500458  0.17763354]
296.png,[-0.31133198  0.24507672  0.27950003  0.2082761 ]
297.png,[-0.26285223  0.16905759  0.32502856  0.18752009]
298.png,[-0.26998044  0.20057006  0.29283477  0.19764035]
299.png,[-0.34053873  0.35341116  0.19445802  0.21094269]
300.png,[-0.32208458  0.32605019  0.20395394  0.2080916 ]
301.png,[-0.36315526  0.40215821  0.16271276  0.21274508]
302.png,[-0.28950813  0.27162097  0.2383902   0.18912773]
303.png,[-0.33666722  0.37827826  0.15797406  0.21021073]
304.png,[-0.31428807  0.3331355   0.19698385  0.19101353]
305.png,[-0.05817559 -0.16892009  0.50854795  0.12661141]
306.png,[ 0.60468326 -1.59013043  1.34891733  0.02231298]
307.png,[ 0.34293632 -1.02294446  0.96548758  0.10630684]
308.png,[ 0.45723078 -1.25792651  1.12605643  0.06489636]
309.png,[ 0.41755508 -1.17227473  1.07502297  0.07210773]
310.png,[ 0.47970591 -1.30024928  1.16739596  0.04554585]
311.png,[ 0.53398896 -1.38967688  1.21593708  0.0354315 ]
312.png,[-0.51329422  0.61324934  0.07482918  0.20677166]
313.png,[-0.09229031  0.00454265  0.32527955  0.16835572]
314.png,[-0.49310824  0.60223781  0.06768492  0.20594827]
315.png,[-0.49250631  0.60360423  0.06752408  0.20429004]
316.png,[-0.47878296  0.57613602  0.09619384  0.1893748 ]
317.png,[-0.11039563  0.07648939  0.26736928  0.17419918]
318.png,[-0.06561734 -0.00402914  0.31485811  0.1668417 ]
319.png,[-0.10259888  0.07927334  0.265036    0.17406575]
320.png,[-0.07944214  0.02510527  0.31716601  0.15485141]
321.png,[ 0.07128835 -0.28311502  0.53292357  0.10117158]
322.png,[-0.14247402  0.16862625  0.22465735  0.17859536]
323.png,[-0.12139973  0.1338261   0.24965991  0.17337037]
324.png,[-0.13722391  0.15363846  0.26049491  0.16049384]
325.png,[-0.0674345   0.02417971  0.34049058  0.14845752]
326.png,[-0.07848045  0.0684142   0.30390885  0.1647404 ]
327.png,[-0.14883862  0.19554222  0.24704873  0.17095771]
328.png,[ 0.08605228 -0.28110749  0.57192708  0.0928986 ]
329.png,[-0.14291125  0.2062586   0.24275071  0.17426606]
330.png,[-0.01905759 -0.07803362  0.47907543  0.10547841]
331.png,[-0.11452185  0.14376574  0.31404945  0.1487473 ]
332.png,[-0.1452387   0.21436108  0.27548009  0.15503366]
333.png,[-0.22639203  0.38686836  0.17033905  0.1831862 ]
334.png,[-0.2561948   0.43859844  0.16546788  0.17026028]
335.png,[-0.26593977  0.46852275  0.14021628  0.18463882]
336.png,[-0.23134268  0.42620314  0.15510547  0.18629377]
337.png,[-0.22738273  0.40849735  0.18839435  0.16586051]
338.png,[-0.19050024  0.36609044  0.20353604  0.16550381]
339.png,[-0.46186899  0.91599447 -0.13247499  0.22875477]
340.png,[-0.19880644  0.40163948  0.18888575  0.16716108]
341.png,[-0.35311209  0.736619   -0.040471    0.22632546]
342.png,[ 0.01296741 -0.03970556  0.50379568  0.09623161]
343.png,[-0.18080233  0.38825482  0.22238398  0.15248857]
344.png,[-0.38826321  0.84331747 -0.10559369  0.23534521]
345.png,[-0.38888959  0.85825934 -0.11587429  0.24062263]
346.png,[-0.37452135  0.83908704 -0.09486358  0.22756324]
347.png,[-0.16023632  0.39835217  0.20980697  0.15901532]
348.png,[-0.34438454  0.81826756 -0.10076505  0.24098429]
349.png,[-0.19272778  0.48682122  0.15367717  0.17155947]
350.png,[-0.3250781   0.80376022 -0.10109704  0.24427188]
351.png,[-0.32008204  0.79736268 -0.08467749  0.23063666]
352.png,[-0.31354895  0.79669974 -0.08351365  0.23020548]
353.png,[-0.30292603  0.79976434 -0.11135398  0.24796275]
354.png,[-0.24285294  0.68441147 -0.0398228   0.22710004]
355.png,[-0.2823362   0.75243416 -0.07081063  0.2289439 ]
356.png,[-0.26849338  0.7391635  -0.08229957  0.24557349]
357.png,[-0.23778238  0.67419463 -0.03337829  0.22585695]
358.png,[-0.24714664  0.69516725 -0.04761863  0.2285168 ]
359.png,[-0.26849338  0.7391635  -0.08229957  0.24557349]
360.png,[-0.29031405  0.76227503 -0.07358873  0.22890752]
361.png,[-0.29536659  0.7724627  -0.08001947  0.23014894]
362.png,[-0.3196461   0.82414241 -0.12032334  0.24815401]
363.png,[-0.3196461   0.82414241 -0.12032334  0.24815401]
364.png,[-0.12042495  0.38671195  0.2013643   0.16397565]
365.png,[-0.25092635  0.69440535 -0.04268661  0.22708307]
366.png,[-0.3196461   0.82414241 -0.12032334  0.24815401]
367.png,[-0.26849338  0.7391635  -0.08229957  0.24557349]
368.png,[-0.3196461   0.82414241 -0.12032334  0.24815401]
369.png,[-0.3196461   0.82414241 -0.12032334  0.24815401]
