Image Filename,Coefficients
94.png,[ 0.08822097 -0.27586445 -0.00513173 -0.11543223]
95.png,[ 0.15334889 -0.4005935   0.05717768 -0.12550317]
96.png,[ 0.16340607 -0.42851254  0.07036625 -0.12775244]
97.png,[ 0.198405   -0.49777674  0.09929488 -0.13257525]
98.png,[ 0.00505629 -0.06454754 -0.22788876 -0.03981138]
99.png,[ 0.41475116 -0.93772344  0.36513967 -0.18351539]
100.png,[ 0.11976066 -0.31997907 -0.06387586 -0.07689639]
101.png,[ 0.32234184 -0.75868778  0.24802573 -0.1644164 ]
102.png,[ 0.40532669 -0.97346115  0.41876461 -0.21034015]
103.png,[ 0.21683154 -0.55550767  0.100985   -0.12066421]
104.png,[ 0.31404327 -0.81746483  0.33091688 -0.19821603]
105.png,[ 0.37232138 -0.92742217  0.38682192 -0.20610292]
106.png,[ 0.19616921 -0.53334259  0.07789552 -0.11584024]
107.png,[ 0.12936603 -0.41124809  0.01200511 -0.10756623]
108.png,[ 0.11140747 -0.39270607 -0.0046087  -0.10505628]
109.png,[ 0.14664366 -0.46164497  0.02749052 -0.1086481 ]
110.png,[ 0.17774229 -0.52010492  0.04697308 -0.10916723]
111.png,[ 0.06015606 -0.2863003  -0.09553287 -0.09206203]
112.png,[ 0.11579349 -0.39900284 -0.03545649 -0.1017808 ]
113.png,[ 0.08030156 -0.32116992 -0.09540939 -0.09254488]
114.png,[ 0.30812232 -0.8252184   0.26782378 -0.1914951 ]
115.png,[-0.02370554 -0.13991472 -0.20573976 -0.07502238]
116.png,[ 0.09296987 -0.34018683 -0.11863888 -0.08597325]
117.png,[ 0.11399209 -0.40759946 -0.07497631 -0.09363396]
118.png,[-0.07681015 -0.05909579 -0.2677344  -0.07100529]
119.png,[-0.05382655 -0.11750073 -0.23294795 -0.07640863]
120.png,[ 0.01376967 -0.29842309 -0.09568956 -0.11059356]
121.png,[ 0.00853503 -0.28877754 -0.10947332 -0.10775547]
122.png,[-0.01942717 -0.25103607 -0.13419884 -0.10358796]
123.png,[ 0.21909447 -0.74368277  0.17879861 -0.166665  ]
124.png,[ 0.08847891 -0.5136817   0.05549741 -0.15931234]
125.png,[ 0.14970825 -0.62840799  0.10669245 -0.15832587]
126.png,[ 1.05646147 -2.14678144  0.78843871 -0.25317782]
127.png,[ 0.15511952 -0.65599549  0.11452753 -0.16063018]
128.png,[ 0.09956039 -0.54712976  0.03682962 -0.1473141 ]
129.png,[ 0.09985287 -0.58933467  0.07665031 -0.15657705]
130.png,[-0.01697194 -0.37188022 -0.04903468 -0.13902839]
131.png,[-0.03212981 -0.36181812 -0.0520457  -0.13881937]
132.png,[-0.04380138 -0.33574906 -0.08252284 -0.13284924]
