fx,fy,pred_fx,pred_fy
-6.873186824477749,-543.1996481810518,-90.850105,-476.78235
-5.681656378994389,-538.1085929194676,-90.60951,-476.6131
-4.4829117633899225,-532.85845894568,-90.81759,-467.129
-3.277640638827397,-527.4541961815515,-91.75324,-459.12686
-2.0665108926966487,-521.9009054071754,-91.34642,-454.36646
-0.8501696442571832,-516.2038327816832,-88.03193,-440.72812
0.3707576876483977,-510.3683641457672,-88.17428,-442.80472
1.5956682527683996,-504.4000191048774,-84.93055,-410.4096
2.823982571915312,-498.3044448923745,-81.586136,-398.17203
4.05514527280949,-492.08741001207846,-79.886314,-393.6708
5.288625759102354,-485.7547976598976,-79.12224,-369.5402
6.52391881310081,-479.31259892484326,-75.38447,-382.17175
7.760545133441103,-472.7669057708815,-77.28952,-342.19656
8.99805180978129,-466.1239038026652,-77.78286,-361.70132
10.23601273734382,-459.3898648199119,-73.801834,-336.2697
11.474028974448377,-452.5711391666736,-72.55624,-303.70468
12.71172904580575,-445.67414788279257,-71.195984,-335.75848
13.94876919357642,-438.705374665598,-74.58955,-313.42184
15.18483357758857,-431.67135765062864,-70.33188,-311.0777
16.419634425946366,-424.5786810209884,-71.47499,-324.16446
17.652912137334962,-417.43396645589934,-62.88334,-313.23257
18.88443533623668,-410.2438644302062,-55.055634,-288.4089
20.11400088179238,-403.0150453780257,-59.457096,-323.00778
21.341433830256136,-395.7541907352609,-47.92291,-303.46362
22.56658735016157,-388.46798387707565,-46.97771,-283.71405
23.78934258870247,-381.1631009675865,-43.744316,-300.4886
25.00960848754263,-373.8462017400676,-41.170452,-331.54132
26.227321546249694,-366.5239202269486,-43.74344,-291.42767
27.442445531670018,-359.2028554598885,-42.765556,-321.11465
28.65497113174193,-351.889562161352,-41.230663,-330.6904
29.864915552403584,-344.5905414504811,-38.963333,-355.31375
31.072322056249707,-337.3122315874692,-38.6172,-356.471
32.27725944136368,-330.0609987817954,-38.6007,-362.51282
33.47982145847992,-322.84312809036845,-36.280334,-342.46985
34.68012616466974,-315.66481443188445,-34.64392,-360.0981
35.87831521225416,-308.5321537436155,-33.97677,-362.10083
37.07455307240525,-301.45113430642834,-24.506697,-357.87662
38.2690261935636,-294.42762826304704,-18.260485,-344.49716
39.46194209529697,-287.46738335346373,-11.201449,-319.80823
40.65352839869281,-280.5760148901866,-6.951789,-287.15707
41.84403179486272,-273.7589979949251,-26.27802,-177.57137
43.033716953571,-267.02166011738734,-12.784521,-228.74
44.22286537442314,-260.3691738559732,-20.358906,-175.35062
45.41177418359696,-253.806550099163,-34.857903,-4.4600253
46.60075487972617,-247.3386315053308,-36.436684,12.626667
47.79013203297573,-240.97008633760095,-41.3489,10.916484
48.98024194143921,-234.70540266922453,-59.651386,-2.8623931
50.17143124897743,-228.54888297367245,-42.397106,10.626951
51.364055528806354,-222.5046391121127,-52.913364,1.5761778
52.558477837489264,-216.5765877292344,-39.244133,15.664899
53.75506724422705,-210.76844606670625,-60.343697,-13.562926
54.954197340376815,-205.08372820207475,-64.45285,-20.4785
56.15624473411595,-199.5257417197316,-60.156406,-11.808552
57.361587535253065,-194.09758481977497,-50.461197,4.1063266
58.57060383530431,-188.80214387006623,-45.91616,10.636197
59.78367018788683,-183.64209140619792,-51.21661,3.3918512
61.00116009408873,-178.61988458313556,-48.83918,6.0092163
62.22344249686257,-173.73776408096418,-39.002323,16.233843
