fx,fy,pred_fx,pred_fy
2.7245912041126665,-112.79525368754535,-72.49272,243.75348
7.243202991848816,-108.9190256905775,-63.74479,235.83867
11.60202314823593,-105.026605348688,-54.222458,237.78659
15.780495385296524,-101.13527476277068,-31.074127,228.10591
19.759002314451088,-97.26276728680514,-36.628033,224.0301
23.5190358037182,-93.42717366020472,-718.6249,112.45684
27.043357983560472,-89.64684592125985,-11.448606,-228.39014
30.31615085113226,-85.94029998617941,96.855606,368.36758
33.32315282725392,-82.32611789988347,702.0784,-36.85892
36.05178098908706,-78.82285084281592,695.2735,-39.063797
38.49123792776485,-75.44892396991895,761.9546,-6.06449
40.632602261351295,-72.22254404415426,752.884,16.141708
42.468901831726455,-69.16161060676373,646.2725,133.81227
43.99516860731514,-66.28363113219693,-93.45849,-227.20427
45.20847438631181,-63.60564032708182,-37.92202,11.235623
46.10794660971517,-61.14412353637722,-37.979946,9.89142
46.6947639342708,-58.91494414170369,-37.04004,12.828199
46.972131586420325,-56.93327483561391,-36.569782,13.782869
46.94523683117984,-55.21353268323185,-35.58245,17.250837
46.62118514558388,-53.76931791989044,-36.149643,12.901794
46.00891795151984,-52.61335646754932,-40.395107,-6.5566926
45.11911307913482,-51.757446166077536,-35.085278,15.618697
43.964069474561306,-51.21240671118135,-35.65698,12.002547
42.55757797705451,-50.98803330098704,-39.46775,-6.0517697
40.91478022244121,-51.09305404273146,-35.338932,11.39735
39.05201785109685,-51.535091250491455,-34.684105,12.054007
36.98667419409116,-52.32062685040928,-34.39112,12.829521
34.737010488073444,-53.4549721889811,-33.999527,14.241455
32.321998464310724,-54.942242612916274,-35.17705,9.031242
29.76115092689485,-56.78533725994201,-36.008636,4.041071
27.074351733638444,-58.98592456603892,-39.94489,-13.882741
24.28168645360752,-61.54443403108493,-36.024303,3.069881
21.40327490956186,-64.46005474926075,-41.173878,-19.985262
18.45910681589191,-67.73074107830075,-42.28543,-26.14395
15.468881767234292,-71.35322561082212,-36.90954,-3.3150434
12.451854884671784,-75.32303937079651,-43.27127,-31.358046
9.426689459272083,-79.63453894721879,-38.281628,-10.827103
6.411317935093417,-84.2809401400585,-39.243153,-15.27576
3.4228125499687945,-89.25435763904339,-38.88703,-14.488517
0.4772669251324413,-94.54585027004038,-44.85852,-41.00403
-2.4103101179571014,-100.14547143923136,-39.650322,-19.381222
-5.226087256716236,-106.04232461002444,-45.39317,-44.94314
-7.95748871783026,-112.22462391428036,-47.116913,-52.923695
-10.593256733964308,-118.6797601795904,-45.835762,-48.32727
-13.123497816273654,-125.3943726249736,-41.987514,-31.909718
-15.539712684285194,-132.35442625936827,-48.813137,-62.946243
-17.83481011033434,-139.54529472507966,-49.39916,-66.16567
-20.003105265470275,-146.95184804921445,-49.40376,-67.378876
-22.04030339382274,-154.55854454080992,-49.30027,-68.30976
-23.943469830667183,-162.34952593515072,-49.425564,-73.600586
-25.710987540500454,-170.30871484337518,-48.033577,-91.80937
-27.34250347974884,-178.41991354754464,-49.7338,-71.69174
-28.83886517120154,-186.6669031123575,-43.500984,-123.44234
-30.202048905506675,-195.0335416594296,-41.9473,-132.6883
-31.43508095310683,-203.50386050775157,-66.65717,-141.08763
-32.541953088440685,-212.06215674423012,-73.204636,-182.6209
-33.52753363383538,-220.6930806605415,-79.9695,-227.7637
-34.397475158501976,-229.3817164209628,-81.561676,-265.56848
-35.158119917947815,-238.113654386549,-81.802124,-273.38535
-35.81640405711291,-246.87505376331032,-84.0223,-307.64478
-36.37976149513959,-255.65269462644,-85.98873,-332.67813
-36.856028265194986,-264.4340187826731,-84.48721,-316.35748
-37.25334793837632,-273.2071592781576,-86.28586,-340.26205
-37.58007865964266,-281.96095865302794,-97.22477,-472.9052
-37.84470228220966,-290.68497634635463,-92.33038,-414.43237
-38.055736084444575,-299.36948597087394,-92.59361,-418.45486
-38.22164755029171,-308.00546345306617,-92.73248,-420.98685
-38.35077266186735,-316.58456723276214,-95.75272,-452.9591
-38.45123809267745,-325.09911184349244,-97.20343,-471.401
-38.53088763630351,-333.5420362654182,-97.45495,-474.8158
-38.597213207065785,-341.90686845425256,-98.700714,-486.0298
-38.65729083005089,-350.1876874065116,-97.89726,-479.4897
-38.717722168088,-358.37908406104054,-99.65299,-495.16327
-38.78458224095075,-366.476122301513,-99.93691,-497.78998
-38.86337400859014,-374.4743013170048,-99.79544,-496.46396
-38.95899039269271,-382.36952054287,-99.83477,-497.61273
-39.07568412899799,-390.1580482455083,-100.37407,-502.25763
-39.21704562766429,-397.8364944629733,-100.36835,-502.3416
-39.38598880738362,-405.401788516178,-100.56268,-504.68478
-39.584744675578655,-412.851160820144,-100.548645,-506.6273
-39.81486225926452,-420.18212839016127,-100.44924,-505.84497
-40.07721636052523,-427.3924832661448,-100.5075,-507.2948
-40.37202153373524,-434.4802829891697,-100.67575,-509.12924
-40.69885167607927,-441.4438421989517,-101.3467,-516.6863
-41.05666468655399,-448.28172439960855,-104.16225,-545.03754
-41.44383174175306,-454.9927330083593,-101.67484,-520.5776
-41.85817081285512,-461.5759009474979,-101.777725,-522.3362
-42.29698410670302,-468.0304781998241,-102.17332,-524.68604
-42.75709918738471,-474.3559168928369,-101.46554,-518.57965
-43.23491362091696,-480.5518536635155,-102.05853,-523.02954
-43.72644302626557,-486.618089350823,-102.62093,-527.8183
-44.22737235247491,-492.5545664425887,-103.166595,-530.6197
-44.73311002746637,-498.3613450524957,-103.73151,-535.2767
-45.23884438652545,-504.0385784161048,-104.93562,-546.6513
-45.739601565977175,-509.5864889511471,-103.63811,-534.05646
-46.23030390995764,-515.0053458628005,-103.91863,-537.5386
-46.7058279053695,-520.2954451133317,-104.88462,-545.5607
-47.16106070632209,-525.4570923259981,-103.37901,-532.114
-47.59095440149718,-530.4905888976133,-104.879326,-546.54895
-47.990577291319525,-535.3962213263893,-104.91661,-548.5274
-48.35516156007365,-540.1742535664198,-102.30484,-521.6366
-48.68014684387327,-544.8249220916218,-102.44078,-522.75073
-48.96121930143404,-549.3484332769516,-105.06385,-547.9829
-49.19434588261873,-553.7449626910892,-104.55653,-543.3509
-49.37580356350423,-558.0146559455192,-104.49391,-542.2403
-49.50220338462443,-562.1576308282237,-104.76193,-543.04944
-49.570509183035945,-566.1739805146104,-104.21185,-536.76624
-49.57805093047353,-570.0637776696714,-101.48864,-507.20255
-49.52253257577721,-573.8270792543182,-101.14424,-503.61398
-49.4020342681696,-577.4639318479934,-104.81214,-536.29254
-49.21500887362733,-580.9743772752979,-101.673584,-504.21188
-48.96027288004863,-584.3584582187531,-101.97238,-506.35657
-48.63699217581679,-587.6162232960643,-102.344124,-507.3625
-48.244663708497214,-590.7477308645408,-101.50101,-499.6143
-47.783094469861325,-593.753050725149,-102.37625,-506.29205
-47.252379403766,-596.6322629857156,-102.62735,-506.9146
-46.65287966851571,-599.3854535196419,-102.31772,-503.73682
-45.985202344151,-602.0127055990953,-105.67395,-532.1871
-45.25018230350116,-604.514087361871,-102.26951,-500.8933
-44.44886661903693,-606.8896348651023,-103.158,-506.7334
-43.58250155958354,-609.1393306497796,-105.47822,-526.7806
-42.65252196265438,-611.2630779552564,-102.9844,-503.81613
-41.660542576556985,-613.2606709175385,-102.29563,-497.78552
-40.60835084233529,-615.1317612547147,-102.68244,-500.6758
-39.497900506054776,-616.8758221164162,-101.94551,-494.62985
-38.3313054240254,-618.4921099351769,-102.07936,-495.59625
-37.110832963315815,-619.9796252134124,-105.48394,-523.3444
-35.838896495041425,-621.3370731853541,-105.852844,-526.03625
-34.51804659608924,-622.5628252245574,-102.5624,-498.94797
-33.150960681420415,-623.6548817515713,-102.65868,-499.7569
-31.74043086082081,-624.6108372527411,-105.26664,-520.9294
-30.289349862778888,-625.4278478620571,-105.880554,-525.15674
-28.800694938322906,-626.1026017928475,-102.05207,-491.79526
-27.277509787376133,-626.631292756655,-102.25561,-491.75433
-25.72288473293909,-627.0095964234408,-102.332504,-489.29233
-24.139935545079915,-627.2326500159223,-102.1365,-490.54095
-22.5317814200775,-627.2950352910343,-102.44454,-483.561
-20.901522639230013,-627.1907653644718,-102.44292,-486.1409
-19.252218413284776,-626.9132759761948,-102.195496,-493.46118
-17.58686540216795,-626.4554218274163,-102.330826,-480.9702
-15.908377383252668,-625.8094785826487,-105.12173,-523.80133
-14.219566502563689,-624.9671510970517,-101.66252,-472.06342
-12.523126468647924,-623.9195884230345,-100.792816,-464.88583
-10.821617941925211,-622.6574061335319,-100.22325,-453.83286
-9.117456254305855,-621.1707164348791,-99.85235,-444.4768
-7.412901498883645,-619.4491664400929,-100.40578,-484.29245
-5.710050988923379,-617.4819848914829,-96.86935,-400.45227
-4.010834105228772,-615.258037624371,-94.570694,-422.6047
-2.3170095976554146,-612.765892160748,-92.7124,-336.98727
-0.6301654190826308,-609.9938919395297,-91.02501,-321.6198
1.048278890829214,-606.9302407218785,-89.81234,-289.93985
2.717067360991964,-603.5630975895513,-87.154816,-314.05878
4.375100450179245,-599.8806826700634,-89.83735,-290.81448
6.021425785529405,-595.8713932899524,-90.365906,-285.5044
7.65522689320586,-591.5239297277368,-90.03684,-278.9959
9.275809955611424,-586.827429227583,-89.46672,-275.3359
10.882588557411845,-581.7716065772865,-88.993675,-252.00092
12.4750663476361,-576.3468993895666,-88.70158,-251.95804
14.052817568913778,-570.5446161643681,-87.495316,-234.99031
15.615465493913918,-564.357085134727,-87.65404,-234.90598
17.162658949862834,-557.7778017806569,-86.027596,-280.91104
18.6940472721466,-550.8015727972448,-85.48058,-274.31598
20.209254180744956,-543.4246543027598,-86.096634,-234.07098
21.70785122874621,-535.6448822068346,-85.75511,-220.76483
23.18933165119679,-527.461792907237,-83.23558,-264.2275
24.65308560573656,-518.8767327692868,-83.1399,-266.4057
26.098377842451555,-509.89295506633937,-82.1913,-250.01921
27.52432871153105,-500.5157031765897,-78.573326,-256.95316
28.9298991856773,-490.752278878338,-76.81118,-247.42323
30.31388038271861,-480.6120946288686,-78.45384,-201.30873
31.6748879961249,-470.10670878412793,-76.991425,-194.32399
33.01136202451785,-459.2498428300146,-66.529976,-240.65646
34.32157213115828,-448.0573798749655,-73.209335,-203.06584
35.60362880413827,-436.5473439053473,-57.622204,-238.33867
36.85550024897244,-424.73985958665446,-64.71892,-192.39763
38.07503469474925,-412.65709264566254,-53.732628,-223.24376
39.25998759925271,-400.3231710758377,-50.15022,-211.56503
40.40805312683669,-387.7640875936245,-56.480385,-178.02562
41.51689922997696,-375.0075839566816,-42.567398,-216.98224
42.58420565902384,-362.08301795372887,-39.459103,-220.4284
43.60770423345674,-349.0212141238097,-37.43577,-217.2919
44.585220711203945,-335.8542995799384,-34.22236,-211.87305
45.51471755505706,-322.6155266554094,-27.258844,-198.89761
46.39433679972616,-309.3390843797216,-27.790747,-198.83054
47.22244211709067,-296.0599009761588,-34.57597,-179.97527
47.99765915120004,-282.8134396603054,-35.215683,-175.66843
48.71891329058187,-269.63549003191065,-31.89381,-202.79063
49.38546420590601,-256.5619572961009,-34.118824,-176.89047
49.9969366187604,-243.62865141333515,-35.480545,-166.76634
50.553346862740106,-230.8710780726018,-34.73041,-164.0416
51.05512488704564,-218.32423316465977,-35.747124,-149.71848
51.5031314475372,-206.02240226167217,-35.806957,-137.32289
51.89867031336728,-193.99896649578,-35.699657,-129.4521
52.243495399094165,-182.2862161370848,-39.17244,-93.86904
52.539812847576016,-170.91517307093733,-41.15147,-78.97443
52.79027822654806,-159.91542326341064,-41.71503,-77.97193
52.99798909069364,-149.31496019617512,-48.892498,-17.96747
53.16647316488664,-139.14004014862218,-53.472374,-22.527306
53.299672384223896,-129.41505007723575,-49.902515,-24.686504
53.40192306000021,-120.16238866192118,-50.39797,-26.676378
53.47793251726607,-111.40236087385996,-49.710228,-23.75108
53.53275260089935,-103.15308622089194,-52.9063,-36.815308
53.57175044888516,-95.43042068673512,-51.991123,-32.618908
53.60057692325,-88.24789232660399,-53.746857,-40.258083
53.62513310856973,-81.6166505308704,-53.5641,-39.487194
53.6515353186579,-75.54542909451655,-53.653965,-44.540554
53.68607903825449,-70.04052334712794,-53.266697,-47.53094
53.73520213199178,-65.1057816225384,-52.996212,-53.574818
53.80544750471292,-60.74261127878321,-52.29857,-51.323437
53.90342527146885,-56.94999938595181,-52.08471,-56.09208
54.03577444790399,-53.72454812547544,-48.99845,-58.68905
54.20912418348565,-51.06052486801482,-47.0429,-53.171574
54.43005457392219,-48.94992678528337,-41.76594,-46.875607
54.70505708432489,-47.38255970345877,-34.795128,-52.748753
