fx,fy,pred_fx,pred_fy
31.941794029338062,-439.2198213675803,59.063484,-66.86473
32.46636915861356,-440.32330439744993,11.4847145,-67.318474
32.99005160989502,-441.4269058103101,-13.661478,-60.310944
33.512353006203085,-442.5297568025349,16.851202,-73.179276
34.03279308776155,-443.6309934102866,-12.587072,-68.245575
34.550901400168435,-444.7297584101465,8.797889,-71.35683
35.0662189985592,-445.8252032019904,66.30924,-64.41671
35.578300162411665,-446.91648966582807,72.46118,-64.94191
36.08671411583408,-448.0027919842355,-0.80110496,-70.693054
36.59104674827166,-449.0832984222527,66.95245,-55.365532
37.09090233034638,-450.1572130570888,20.293863,-48.370495
37.58590521893232,-451.2237574506233,4.7992353,-72.60796
38.07570154466799,-452.28217225859,-8.5194435,-69.735596
38.55996087415538,-453.3317187714664,86.02319,-64.21742
39.03837783841939,-454.37168038325154,-19.256653,-70.86506
39.510673719093454,-455.40136398532553,25.205692,-69.59684
39.97659798426345,-456.42010128339695,72.62321,-60.34607
40.43592976659734,-457.4272500362387,82.08974,-64.61407
40.88847927693735,-458.4221952155134,-9.154105,-74.49584
41.33408914689909,-459.4043500864898,-6.131453,-69.188126
41.77263569447511,-460.3731572098876,8.180032,-71.47126
42.20403010737665,-461.32808936556336,-36.466576,-52.92759
42.62821953972038,-462.26865039938696,23.664831,-70.94907
43.045188118325896,-463.1943759954776,27.726442,-72.39926
43.45495785512197,-464.1048343767994,25.78227,-70.98215
43.85758946204185,-464.99962693766304,89.5168,-63.909615
44.2531830645412,-465.8783888117313,70.32883,-69.67548
44.64187880968663,-466.7407893786996,94.22503,-68.08974
45.02385736478825,-467.58653271216207,89.76522,-64.30482
45.39934030291416,-468.4153579706346,64.46963,-44.53367
45.76859037237816,-469.2270397335994,87.74733,-65.34194
46.13191164832935,-470.0213882848012,84.20302,-62.22779
46.48964956564768,-470.7982498455792,-16.712786,-64.185196
46.84219083315418,-471.55750676131055,11.351715,-68.91436
47.18996322948614,-472.2990776437749,-15.776147,-61.225792
47.53343528102807,-473.0229174714104,73.00703,-64.92622
47.87311582253901,-473.729017648302,24.32261,-73.74347
48.20955344196502,-474.4174060217229,87.36868,-60.990772
48.54333581222903,-475.0881468574144,72.170044,-69.94334
48.87508891401261,-475.7413407715886,-2.1869953,-62.09628
49.20547615426163,-476.37712461872087,2.6249652,-69.54228
49.53519738530486,-476.9956713343067,-7.2411985,-68.11026
49.86498782924957,-477.5971897316913,48.891533,-45.982407
50.19561691188413,-478.1819242517955,-14.999405,-63.629513
50.52788700979645,-478.7501546641747,90.50122,-64.08138
50.86263211394561,-479.3021957175144,-9.753453,-72.4199
51.20071641257983,-479.83839673740135,49.836483,-78.47691
51.54303279611425,-480.3591411689295,70.86631,-67.05454
51.89050128628833,-480.86484606136713,89.40729,-62.517853
52.244067391663705,-481.3559614918421,-0.45137665,-76.65169
52.60470039139764,-481.8329699248683,88.240395,-63.011307
52.97339154925885,-482.2963855045485,88.831406,-72.920235
53.35115226001172,-482.7467532764008,75.83958,-61.2544
53.73901213059228,-483.1846483359921,92.08794,-69.53401
54.1380169989783,-483.6106749019476,50.741802,-68.95486
54.549226894272216,-484.0254653114308,70.79648,-73.89761
54.97371394215237,-484.4296789368474,86.51817,-69.649345
55.41256022042772,-484.8240010232497,84.29346,-75.126
55.86685556994634,-485.2091414465821,68.36308,-69.71435
56.33769536655726,-485.5858333934131,76.4112,-70.67489
56.82617826019269,-485.95483196321817,79.74475,-75.61305
57.33340388741736,-486.31691269486345,58.26794,-52.10303
57.8604705639833,-486.6728700198546,83.69669,-76.43864
58.40847296402069,-487.02351564612434,53.00188,-40.723152
58.97849979248812,-487.3696768773488,84.51163,-73.98241
59.57163145741871,-487.712194873699,78.29492,-53.714123
60.18893774839103,-488.0519228604261,69.88173,-49.141098
60.831475527558105,-488.3897242908464,65.4239,-46.161297
61.50028643945241,-488.726470970348,74.3532,-76.20893
62.19639464559933,-489.0630411481051,78.03755,-76.30863
62.92080458973143,-489.4003175832667,86.27156,-69.37118
63.6744987991678,-489.73918559238905,84.6858,-70.9813
64.45843572773065,-490.0805310847644,73.44395,-78.13857
65.27354764535363,-490.42523859210337,85.1788,-66.47509
66.12073857921398,-490.7741892988077,69.024506,-75.46422
67.00088231080198,-491.12825907870285,79.835625,-73.56645
67.91482043290935,-491.4883165434624,54.552437,-57.336575
68.86336047009624,-491.8552211071025,65.66976,-54.189594
69.84727406571118,-492.2298210700623,49.130367,-56.0625
70.86729523794997,-492.6129517255985,0.5113351,-19.659945
71.92411870689307,-493.0054334905775,84.52601,-70.48314
73.01839829419518,-493.40807006238623,69.989914,-72.650276
74.15074539720582,-493.82164660385206,-29.874788,-32.82027
75.32172753958365,-494.2469279587886,64.45956,-58.32578
76.53186700063067,-494.6846569018927,70.97885,-76.76648
77.78163952549609,-495.1355524278213,-48.012993,-17.595715
79.07147311823822,-495.6003080850557,-53.022106,-11.607143
80.40174691971067,-496.07959036048845,49.365368,-73.97691
81.77279017242704,-496.5740371206485,-166.26277,20.51462
83.1848812748487,-497.0842561152485,-60.227917,2.6006873
84.63824692776744,-497.6108235483903,23.37766,-90.7364
86.13306137550153,-498.1542827223156,10.395635,-93.03552
87.66944574447959,-498.715142758147,30.548426,-113.8852
89.24746748146893,-499.2938773977746,21.813658,-81.607056
90.8671398931614,-499.8909238910133,13.340841,-61.89862
92.52842178796728,-500.5066819722651,22.252708,-71.40535
94.23121721977012,-501.14151293099786,23.82726,-67.58119
95.97537533239432,-501.79573878038366,6.536772,-38.78458
97.76069030298024,-502.4696415285804,5.4626594,-71.34204
99.58690138239862,-503.1634625573707,32.85338,-89.62799
101.45369303097524,-503.877402112848,33.644104,-81.822464
103.36069514784496,-504.6116189122659,50.57658,-90.68896
105.30748339214723,-505.36622987014965,60.117996,-94.29354
107.29357959409104,-506.1413099456735,45.248734,-99.89229
109.31845225367438,-506.9368921122696,59.652683,-120.627716
111.38151712451334,-507.7529674492967,31.056213,-88.228745
113.4821378798477,-508.5894853541975,45.388844,-96.33098
115.61962685738268,-509.4463538720056,55.204754,-98.75818
117.79324587917452,-510.3234401375493,50.300354,-77.25704
120.0022071422515,-511.2205709245143,48.484013,-61.987278
122.24567417516,-512.1375332947651,35.30795,-38.179832
124.52276285527093,-513.0740753408745,16.296223,5.335451
126.83254248156128,-514.0299070144272,24.059381,10.403381
129.1740368977582,-515.0047010322495,26.877476,23.872116
131.54622566122003,-515.9980938522747,20.145418,51.701256
133.94804525361565,-517.0096867103446,47.16798,11.038427
136.3783903300411,-518.0390467088693,53.72701,-6.161516
138.83611500340157,-519.0857079479601,45.64097,11.713306
141.3200341606264,-520.1491726895049,30.484589,46.607735
143.828924806764,-521.228912544739,73.73668,-39.12751
146.3615274324569,-522.3243696761955,86.89762,-59.489708
148.9165473999041,-523.434958005355,65.682274,-26.604887
151.492656342276,-524.5600644177413,99.66819,-89.68642
154.0884935716629,-525.6990499575769,98.60196,-94.71759
156.70266749091147,-526.8512510046455,104.935,-102.0243
159.33375700502998,-528.0159804268518,98.98397,-101.51943
161.98031292819874,-529.1925287030388,95.27246,-85.75284
164.64085938283378,-530.3801650116517,129.05362,-131.12209
167.3138951876,-531.5781382817454,126.931656,-136.0669
169.99789523173604,-532.7856782037757,118.70126,-170.87598
172.69131183358158,-534.0019961986794,107.86736,-100.74286
175.39257608187447,-535.2262863447972,113.99746,-122.699005
178.1000991592802,-536.4577262630789,127.274086,-112.43658
180.8122736487535,-537.6954779617863,114.16236,-113.78091
183.52747482463155,-538.9386886426227,121.86416,-154.60765
186.24406193160956,-540.1864914707271,131.01857,-114.15715
188.96037945571183,-541.4380063110966,111.6021,-148.07602
191.67475839193477,-542.6923404337648,118.06743,-177.72012
194.38551751340984,-543.9485891896966,133.78795,-115.730644
197.09096464680184,-545.2058366590928,104.945755,-208.1862
199.7893979582832,-546.4631562737788,84.485634,-242.01459
202.4791072538556,-547.7196114156128,113.22151,-204.88513
205.15837529699343,-548.9742559933622,102.28599,-245.93301
207.82547914551813,-550.2261350011864,119.80931,-213.28455
210.4786915083748,-551.4742850626237,124.36063,-202.87993
213.11628212186184,-552.7177349645829,122.80149,-219.64925
215.73651914416328,-553.9555061859486,134.20718,-207.47052
218.3376705668172,-555.1866134248886,118.88615,-212.0092
220.91800564192263,-556.4100651280139,111.473946,-228.57785
223.4757963242756,-557.6248640235262,118.262695,-212.75035
226.00931872795795,-558.8300076595791,111.63454,-252.43774
228.5168545969194,-560.0244889483043,119.27044,-226.55821
230.9966927887135,-561.2072967153307,126.45974,-206.64505
233.4471307699993,-562.377416254248,123.75704,-217.67259
235.86647612195543,-563.5338298854035,121.04305,-235.45724
238.2530480535172,-564.6755175185579,122.93119,-212.02744
240.60517892032183,-565.801457219106,127.52767,-211.32564
242.9212157474886,-566.9106257778042,119.92292,-239.68866
245.19952175499336,-568.0019992845095,126.345276,-221.69193
247.43847788540705,-569.0745537074711,131.51562,-217.26459
249.6364843348644,-570.1272654809192,128.07954,-214.98164
251.7919620889284,-571.1591121046087,135.08417,-201.52498
253.90335446525384,-572.1690727593221,135.71896,-216.6543
255.96912866463276,-573.1561289423269,140.1162,-206.60281
257.98777733134466,-574.1192651268675,124.85406,-223.10506
259.9578201231295,-575.0574694502513,133.58678,-224.05841
261.87780529082704,-575.9697344358735,131.52649,-229.19841
263.7463112678,-576.8550577553469,131.94684,-215.05865
265.5619482694874,-577.7124430374312,134.33838,-230.39728
267.323359903618,-578.5409007304303,133.27107,-211.54544
269.0292247915903,-579.3394490240069,126.951256,-222.35715
270.67825820110784,-580.107114834995,135.57164,-219.809
272.26921368924474,-580.8429348600625,131.88431,-228.09097
273.80088475379176,-581.5459566963483,135.4732,-227.89813
275.2721064892721,-582.2152400297695,127.514465,-230.02321
276.6817572427201,-582.8498578895932,138.89848,-211.54315
278.0287602633442,-583.4488979669209,125.248955,-246.74478
279.31208533954566,-584.011463993927,136.0565,-225.22137
280.53075041633195,-584.5366771802618,134.16713,-218.50421
