Image Filename,Coefficients
91.png,[ 0.04357081 -0.03636045 -0.16171868 -0.12564404]
92.png,[ 0.00690632  0.02654575 -0.19812582 -0.12107908]
93.png,[-0.02272424  0.06841715 -0.21513544 -0.11873895]
94.png,[-0.04605061  0.10074456 -0.2295564  -0.1167843 ]
95.png,[ 0.0034145   0.01312638 -0.18962659 -0.12208832]
96.png,[-0.02140305  0.05583466 -0.21610094 -0.11709224]
97.png,[ 0.01743505 -0.01215389 -0.18647025 -0.12113791]
98.png,[-0.00400779  0.0081432  -0.19289916 -0.12050127]
99.png,[-0.03892359  0.0703001  -0.23575326 -0.10594567]
100.png,[ 0.03010745 -0.06650365 -0.1541402  -0.12509673]
101.png,[-0.0708828   0.11437967 -0.2496637  -0.11618301]
102.png,[ 1.21747543 -2.72923451  1.83331236 -0.66706195]
103.png,[ 0.11178264 -0.26179048 -0.01954909 -0.16270947]
104.png,[ 0.14604279 -0.29892031 -0.02682064 -0.16144468]
105.png,[ 0.0870346  -0.17407165 -0.11939662 -0.14070149]
106.png,[ 1.25130048 -2.7728013   1.8077299  -0.66170325]
107.png,[ 0.08632976 -0.1731738  -0.13769555 -0.14188803]
108.png,[ 0.15700777 -0.34901708 -0.00881362 -0.17093072]
109.png,[ 0.19973822 -0.43733537  0.03843084 -0.17736118]
110.png,[ 0.22749135 -0.50718726  0.0796102  -0.18427869]
111.png,[ 0.19671101 -0.44840769  0.04510007 -0.1827111 ]
112.png,[ 0.11588096 -0.29809305 -0.04390373 -0.16768104]
113.png,[ 0.03958676 -0.14108806 -0.15859381 -0.14119685]
114.png,[ 0.09792164 -0.29048547 -0.0531797  -0.15981698]
115.png,[ 0.10625162 -0.32741634 -0.01892315 -0.17223389]
116.png,[ 0.10000602 -0.32033726 -0.02202188 -0.17211806]
117.png,[ 0.11281763 -0.34399577 -0.02703303 -0.16252598]
118.png,[ 0.05730569 -0.2531774  -0.07386071 -0.15679337]
119.png,[ 0.10859915 -0.36762419  0.00054334 -0.17619799]
120.png,[ 0.07777626 -0.29267377 -0.06428524 -0.15604532]
121.png,[ 0.0558733  -0.2823412  -0.04400051 -0.17106518]
122.png,[ 0.13249406 -0.41620725  0.01684383 -0.17895486]
123.png,[ 0.14721612 -0.4419654   0.02283549 -0.17915016]
124.png,[ 0.12574529 -0.4052749   0.00683983 -0.17716642]
125.png,[ 1.20041714 -2.87066909  1.89473332 -0.69114021]
126.png,[-0.00490537 -0.17046438 -0.12278456 -0.16101993]
127.png,[ 0.0724897  -0.3017625  -0.06219247 -0.16644701]
128.png,[ 0.06166834 -0.28985131 -0.06440114 -0.16576008]
129.png,[-0.02697868 -0.13167639 -0.14241043 -0.15877064]
130.png,[-0.02433836 -0.12436205 -0.1605365  -0.14630702]
131.png,[-0.02385978 -0.12940137 -0.1490624  -0.15681065]
132.png,[ 0.04528968 -0.27643477 -0.05466158 -0.17348804]
133.png,[ 0.0707367  -0.31044159 -0.0492892  -0.16931695]
134.png,[ 0.04733398 -0.2612308  -0.08380919 -0.15712305]
135.png,[-0.02485427 -0.12757626 -0.15008029 -0.15662539]
136.png,[ 0.07701728 -0.31757323 -0.05156534 -0.16233274]
137.png,[ 0.08078923 -0.32312302 -0.05349761 -0.15904439]
138.png,[ 0.07769793 -0.31737697 -0.0528941  -0.1618103 ]
139.png,[ 0.06510612 -0.2945889  -0.06629845 -0.15887964]
140.png,[ 0.0553469  -0.26921663 -0.0815853  -0.16256603]
141.png,[ 0.03191466 -0.24160353 -0.08245649 -0.16673942]
142.png,[ 0.0404301  -0.23939836 -0.10261477 -0.15699555]
143.png,[ 0.04761863 -0.26693185 -0.0771739  -0.1585765 ]
144.png,[ 0.06458914 -0.29501277 -0.06176563 -0.16610618]
145.png,[ 0.07885548 -0.32765267 -0.03847507 -0.17104394]
146.png,[ 1.18806003 -2.83273942  1.86222195 -0.68521895]
147.png,[ 0.05561599 -0.2724649  -0.08391491 -0.15423584]
148.png,[ 0.01693518 -0.21641766 -0.09417809 -0.16551159]
149.png,[ 0.0557487  -0.27429529 -0.08007538 -0.15606426]
150.png,[-0.01248673 -0.15492433 -0.13831801 -0.15036521]
151.png,[ 0.04400074 -0.25165251 -0.09424752 -0.1530068 ]
152.png,[-0.01788521 -0.13526048 -0.15691491 -0.14575049]
153.png,[ 0.07167479 -0.30824597 -0.05478477 -0.16687617]
154.png,[ 0.05586528 -0.27927202 -0.07006608 -0.16494731]
155.png,[-0.00117439 -0.18109564 -0.11476001 -0.16255429]
156.png,[ 0.058893   -0.28060301 -0.07248614 -0.16398948]
157.png,[ 0.0104221  -0.19825125 -0.11401574 -0.15373887]
158.png,[ 0.09123788 -0.35151616 -0.0230752  -0.17494892]
159.png,[ 0.02402115 -0.2296515  -0.08719686 -0.16628163]
160.png,[-0.01065838 -0.15907257 -0.13106916 -0.15853635]
161.png,[ 0.0075662  -0.19889345 -0.10399128 -0.16397418]
162.png,[ 0.01461873 -0.21102941 -0.09565254 -0.16692417]
163.png,[ 0.10379031 -0.37124552 -0.01957049 -0.17109137]
164.png,[ 0.03150299 -0.22093274 -0.11761513 -0.14775777]
165.png,[ 1.18706501 -2.8291638   1.85786097 -0.6837365 ]
166.png,[ 0.10140576 -0.37256079 -0.01230577 -0.17519848]
167.png,[ 1.17286533 -2.80396643  1.845151   -0.68197231]
168.png,[ 0.07271241 -0.31026584 -0.05363275 -0.16703017]
169.png,[ 0.06556394 -0.29457435 -0.06383525 -0.16534533]
170.png,[-0.01065838 -0.15907257 -0.13106916 -0.15853635]
171.png,[ 0.04851511 -0.26035121 -0.08550174 -0.16104392]
172.png,[ 0.01141461 -0.20202952 -0.10562603 -0.16283964]
173.png,[ 0.05448762 -0.27044455 -0.08071087 -0.1615923 ]
174.png,[ 0.06547903 -0.29732081 -0.06013896 -0.16655251]
175.png,[ 0.07026836 -0.30577796 -0.05603048 -0.16671649]
176.png,[ 0.08342928 -0.33483568 -0.03684198 -0.1702508 ]
