Image Filename,Coefficients
85.png,[-0.03097504 -0.33113368  0.30732987  0.05184296]
86.png,[ 0.09261563 -0.57518956  0.44847868  0.03212408]
87.png,[ 0.03945026 -0.48836913  0.41112754  0.03634852]
88.png,[-0.10050994 -0.24643412  0.29122172  0.05281703]
89.png,[-0.08164346 -0.27817204  0.30518585  0.05193294]
90.png,[-0.09220541 -0.25937196  0.29550435  0.0533219 ]
91.png,[-0.14451672 -0.17371071  0.2534162   0.05923116]
92.png,[-0.13430054 -0.19569974  0.26666784  0.0578021 ]
93.png,[-0.13971132 -0.18787385  0.26387781  0.05801435]
94.png,[-0.12640436 -0.21888283  0.28000031  0.05628481]
95.png,[-0.08573673 -0.28720283  0.30278228  0.06019349]
96.png,[-0.06096432 -0.32616911  0.32655396  0.05596776]
97.png,[-0.04795201 -0.40363387  0.39323574  0.04398066]
98.png,[-0.06019345 -0.37756002  0.38099313  0.04540644]
99.png,[-0.10725871 -0.26336947  0.29419263  0.06186649]
100.png,[ 0.01237799 -0.46850179  0.39361201  0.04863559]
101.png,[ 0.0187091  -0.47421481  0.39943392  0.04789851]
102.png,[-0.00793834 -0.4398783   0.38355835  0.05032949]
103.png,[-0.02180853 -0.43138534  0.38543318  0.04933305]
104.png,[-0.04021661 -0.39628979  0.3691992   0.05114584]
105.png,[-0.2010364  -0.06418906  0.13928364  0.10302831]
106.png,[-0.09549158 -0.33070431  0.34467879  0.05396827]
107.png,[-0.13613055 -0.24580066  0.2935808   0.06318293]
108.png,[-0.0176001  -0.4708609   0.41852895  0.04303878]
109.png,[-0.16504735 -0.16609788  0.20335015  0.09217335]
110.png,[-0.0215163  -0.47720533  0.42360645  0.04224622]
111.png,[-0.01994071 -0.48686435  0.42915143  0.04200859]
112.png,[ 0.02862061 -0.58745644  0.48610307  0.03284844]
113.png,[ 0.00239668 -0.51061185  0.41974959  0.04616539]
114.png,[-0.02331517 -0.4680856   0.3934496   0.05181247]
115.png,[ 0.0160543  -0.55980708  0.45288007  0.04067769]
116.png,[ 0.06936258 -0.663711    0.5084382   0.03168582]
117.png,[-0.13248995 -0.30715596  0.32549268  0.04954193]
118.png,[-0.15491099 -0.27150866  0.30970485  0.0514295 ]
119.png,[-0.14870177 -0.25657599  0.27680938  0.05953554]
120.png,[-0.11324084 -0.32664234  0.31346396  0.05430955]
121.png,[-0.09950192 -0.35159437  0.32668606  0.05157438]
122.png,[-0.20508501 -0.11587882  0.16571895  0.07819703]
123.png,[-0.16394064 -0.22241861  0.22136843  0.0701931 ]
124.png,[-0.19456697 -0.12241828  0.14790358  0.08294004]
125.png,[-0.18396002 -0.16382116  0.17588064  0.07807139]
126.png,[-0.16353933 -0.20190573  0.1932355   0.07540762]
127.png,[-0.43147163  0.26958796 -0.04527482  0.09985486]
128.png,[-0.39141604  0.22996135 -0.04806038  0.1036681 ]
129.png,[-0.33257048  0.09994042  0.02495655  0.09262702]
130.png,[-0.23920307 -0.07308533  0.11711649  0.07919681]
131.png,[-0.25900549 -0.02336097  0.07050375  0.08904269]
132.png,[-0.23806389 -0.06881966  0.09273197  0.08635148]
133.png,[-0.2740865  -0.03068446  0.08064807  0.08736839]
134.png,[-0.37568198  0.17315806 -0.04188522  0.10499077]
135.png,[-0.36200464  0.1746913  -0.06215945  0.10908589]
136.png,[-0.2907756   0.03265132  0.01265773  0.09848682]
137.png,[-0.25291948 -0.06000369  0.08837009  0.07096095]
138.png,[-0.33608912  0.06679896  0.03796703  0.06997323]
139.png,[-0.32332708  0.02439509  0.0634421   0.06615627]
140.png,[-0.33469799  0.05625265  0.03265442  0.072607  ]
141.png,[-0.31396967  0.02482483  0.04552494  0.07021487]
142.png,[-0.30442908 -0.0124529   0.06889855  0.06639943]
143.png,[-0.4661186   0.28978033 -0.09724165  0.0825465 ]
144.png,[-0.49243253  0.32306162 -0.11564676  0.08539998]
145.png,[-0.56415972  0.50677864 -0.24654287  0.10602839]
146.png,[-0.32258441  0.00955221  0.06145086  0.04643372]
147.png,[-0.46703983  0.24812975 -0.04935337  0.05346843]
148.png,[-0.40262025  0.13777875 -0.00500414  0.04918827]
