Image Filename,Coefficients
94.png,[ 0.07680361 -0.33443203  0.05361577 -0.12904742]
95.png,[ 0.0625658  -0.31166733  0.03994966 -0.12701557]
96.png,[ 0.06846656 -0.33283183  0.04729239 -0.1275234 ]
97.png,[ 0.07272493 -0.34877823  0.05090708 -0.12680881]
98.png,[ 0.08714799 -0.38168619  0.06257917 -0.12758425]
99.png,[ 0.15038698 -0.54699555  0.19572971 -0.16393729]
100.png,[ 0.20699166 -0.65289715  0.23818776 -0.16927121]
101.png,[ 0.16851078 -0.58502154  0.19618839 -0.16245918]
102.png,[ 0.40025657 -1.05565835  0.48659692 -0.21852623]
103.png,[ 0.09197029 -0.46529515  0.13154519 -0.15806602]
104.png,[ 0.30346574 -0.90356196  0.41003891 -0.21164035]
105.png,[ 0.29260038 -0.89297599  0.40552036 -0.21367747]
106.png,[ 0.23809275 -0.77220893  0.31981784 -0.19877037]
107.png,[ 0.29663833 -0.90074492  0.3982668  -0.21195889]
108.png,[ 0.23986126 -0.80096844  0.33771105 -0.20215986]
109.png,[ 0.23785201 -0.7938753   0.32159739 -0.19809759]
110.png,[ 0.16126819 -0.67390268  0.26988703 -0.19389203]
111.png,[ 0.17836677 -0.70261643  0.27280326 -0.19400255]
112.png,[ 0.1646101  -0.67519646  0.24877396 -0.19228524]
113.png,[ 0.13234983 -0.62309428  0.21746115 -0.18719099]
114.png,[ 0.0527733  -0.48400494  0.14298325 -0.17801393]
115.png,[ 0.07711738 -0.53137227  0.15751412 -0.17925456]
116.png,[ 0.04723017 -0.48589067  0.12772865 -0.17507085]
117.png,[ 0.11258352 -0.64250912  0.24164596 -0.20340997]
118.png,[ 0.10243519 -0.6197456   0.22107215 -0.19990716]
119.png,[ 0.11173069 -0.64495311  0.22337177 -0.19897544]
120.png,[ 1.14216378 -2.39864138  1.0380736  -0.31114051]
121.png,[-4.12587812e-04 -4.68064928e-01  1.32664904e-01 -1.92323123e-01]
122.png,[-0.05524444 -0.38558414  0.09360981 -0.18876334]
123.png,[-0.15904111 -0.14055746 -0.13265841 -0.10947226]
124.png,[ 0.02653348 -0.56061183  0.18146212 -0.20208047]
125.png,[-0.2663457   0.04927898 -0.2468038  -0.0900498 ]
126.png,[ 0.20381803 -0.97123996  0.45424112 -0.26048425]
127.png,[ 0.06773766 -0.75138307  0.34983421 -0.24874976]
128.png,[ 0.10894904 -0.83784519  0.39107587 -0.2567757 ]
129.png,[-0.17700101 -0.2389963  -0.03412149 -0.14595804]
130.png,[ 0.11358481 -0.8575758   0.3976541  -0.2604926 ]
131.png,[-0.19624297 -0.25225564 -0.01876365 -0.15101148]
